"ncbi_gene_id","ensembl_gene_id"
"KCNJ9","ENSTGUG00000000586"
"RRP8","ENSTGUG00000000591"
"EBF1","ENSTGUG00000000593"
"PRKAG2","ENSTGUG00000000594"
"ILK","ENSTGUG00000000595"
"MIER2","ENSTGUG00000000596"
"CTSL","ENSTGUG00000000598"
"ETS1","ENSTGUG00000000599"
"SHC2","ENSTGUG00000000601"
"TRIM3","ENSTGUG00000000602"
"LOC100229925","ENSTGUG00000000605"
"DAPK1","ENSTGUG00000000606"
"SCN3B","ENSTGUG00000000607"
"GALNT11","ENSTGUG00000000608"
"ATP12A","ENSTGUG00000000609"
"TPP1","ENSTGUG00000000610"
"CLINT1","ENSTGUG00000000611"
"CDC34","ENSTGUG00000000612"
"BSG","ENSTGUG00000000614"
"KMT2C","ENSTGUG00000000616"
"HCN2","ENSTGUG00000000617"
"THG1L","ENSTGUG00000000618"
"DCHS1","ENSTGUG00000000619"
"POLRMT","ENSTGUG00000000621"
"ADAM19","ENSTGUG00000000622"
"GAS1","ENSTGUG00000000623"
"TUT7","ENSTGUG00000000624"
"LCMT2","ENSTGUG00000000626"
"FGF22","ENSTGUG00000000627"
"RNF126","ENSTGUG00000000628"
"ISCA1","ENSTGUG00000000630"
"NIPAL4","ENSTGUG00000000631"
"B3GAT1","ENSTGUG00000000632"
"LOC100221461","ENSTGUG00000000634"
"ACTR3B","ENSTGUG00000000635"
"SLC30A5","ENSTGUG00000000636"
"CYFIP2","ENSTGUG00000000637"
"PRSS57","ENSTGUG00000000638"
"PTBP1","ENSTGUG00000000641"
"LOC100225382","ENSTGUG00000000642"
"LOC100223460","ENSTGUG00000000644"
"PLPPR1","ENSTGUG00000000645"
"DPP6","ENSTGUG00000000647"
"ACAD8","ENSTGUG00000000648"
"ALDOB","ENSTGUG00000000650"
"PLPPR3","ENSTGUG00000000652"
"FNDC9","ENSTGUG00000000654"
"ITK","ENSTGUG00000000655"
"LOC100224290","ENSTGUG00000000656"
"NCAPD3","ENSTGUG00000000657"
"MED16","ENSTGUG00000000660"
"GRIN3A","ENSTGUG00000000661"
"JAM3","ENSTGUG00000000662"
"R3HDM4","ENSTGUG00000000663"
"WDR18","ENSTGUG00000000664"
"LOC115491137","ENSTGUG00000000665"
"IGSF9B","ENSTGUG00000000666"
"GRIN3B","ENSTGUG00000000668"
"TMEM161B","ENSTGUG00000000669"
"LOC100229124","ENSTGUG00000000670"
"TMEM259","ENSTGUG00000000673"
"MED7","ENSTGUG00000000675"
"LOC101233188","ENSTGUG00000000678"
"CHERP","ENSTGUG00000000680"
"FAXDC2","ENSTGUG00000000681"
"PAXIP1","ENSTGUG00000000682"
"CETN3","ENSTGUG00000000683"
"EPS15L1","ENSTGUG00000000686"
"GEMIN5","ENSTGUG00000000688"
"HTR5A","ENSTGUG00000000689"
"LOC100226286","ENSTGUG00000000693"
"ADGRV1","ENSTGUG00000000694"
"RBM33","ENSTGUG00000000696"
"SHH","ENSTGUG00000000697"
"LMBR1","ENSTGUG00000000698"
"CNOT8","ENSTGUG00000000699"
"KLF2","ENSTGUG00000000700"
"AP1M1","ENSTGUG00000000701"
"NOM1","ENSTGUG00000000702"
"SNX19","ENSTGUG00000000703"
"LARP1","ENSTGUG00000000704"
"ARRDC3","ENSTGUG00000000705"
"MNX1","ENSTGUG00000000706"
"ADAMTS15","ENSTGUG00000000707"
"UBE3C","ENSTGUG00000000708"
"GALNT10","ENSTGUG00000000711"
"CIB3","ENSTGUG00000000714"
"FAM172A","ENSTGUG00000000715"
"FAM114A2","ENSTGUG00000000719"
"KIAA0825","ENSTGUG00000000720"
"LOC100225213","ENSTGUG00000000721"
"ADAMTS8","ENSTGUG00000000722"
"TPM4","ENSTGUG00000000724"
"GRIA1","ENSTGUG00000000726"
"PTPRN2","ENSTGUG00000000727"
"MCTP1","ENSTGUG00000000728"
"PTPRS","ENSTGUG00000000729"
"TAF12","ENSTGUG00000000730"
"GMEB1","ENSTGUG00000000731"
"TTC37","ENSTGUG00000000732"
"ZBTB44","ENSTGUG00000000733"
"LOC115498339","ENSTGUG00000000734"
"TRNAU1AP","ENSTGUG00000000735"
"NCAPG2","ENSTGUG00000000738"
"FEZ1","ENSTGUG00000000740"
"ARSK","ENSTGUG00000000742"
"LOC100219910","ENSTGUG00000000743"
"LOC115498282","ENSTGUG00000000745"
"ESYT2","ENSTGUG00000000746"
"NMUR2","ENSTGUG00000000747"
"PCSK5","ENSTGUG00000000748"
"GLRA1","ENSTGUG00000000749"
"SLC37A2","ENSTGUG00000000750"
"WDR60","ENSTGUG00000000751"
"CCDC15","ENSTGUG00000000752"
"G3BP1","ENSTGUG00000000753"
"VIPR2","ENSTGUG00000000754"
"HEPACAM","ENSTGUG00000000755"
"ROBO4","ENSTGUG00000000757"
"LOC100220846","ENSTGUG00000000758"
"MSANTD2","ENSTGUG00000000759"
"ESAM","ENSTGUG00000000760"
"OSTF1","ENSTGUG00000000761"
"SPA17","ENSTGUG00000000762"
"SIAE","ENSTGUG00000000763"
"ZMYND11","ENSTGUG00000000764"
"SRSF4","ENSTGUG00000000765"
"NMRK1","ENSTGUG00000000766"
"ATOX1","ENSTGUG00000000767"
"CARNMT1","ENSTGUG00000000768"
"PANX3","ENSTGUG00000000769"
"SPARC","ENSTGUG00000000770"
"TRPM6","ENSTGUG00000000774"
"KDM4B","ENSTGUG00000000775"
"FAT2","ENSTGUG00000000776"
"PTPRU","ENSTGUG00000000777"
"LOC115498327","ENSTGUG00000000780"
"UHRF1","ENSTGUG00000000781"
