Targets	N.A	HumanOrtho	HumanTAAS	HumanTAAS.HumanOrtho	HumanOrtho_inTAASc	HumanTAAS_inTAASc	HumanTAAS.HumanOrtho_inTAASc	Types					
0.FALPE,PELCR,EGRGA,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.FALPE,PELCR,EGRGA,NIPNI,PHACA,CHLUN	3	3	3	100	0	0	0	4_Random_controls					
0.FALPE,PELCR,EGRGA,NIPNI,PHACA,GALGA	0	0	0	0	0	0	0	4_Random_controls					
0.FALPE,PELCR,EGRGA,NIPNI,PHACA,TAUER	3	3	3	100	0	0	0	4_Random_controls					
0.FALPE,PHALE,EURHE,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.FALPE,PHALE,EURHE,GALGA,MELGA,ANAPL	12	11	10	90.90909	2	2	100	4_Random_controls					
0.FALPE,PYGAD,APTFO,MESUN,PTEGU,COLLI	3	2	2	100	1	1	100	4_Random_controls					
0.FULGL,CALAN,CHAPE,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.FULGL,CHAVO,BALRE,OPHHO,CALAN,CHAPE	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,CHLUN,TAUER,CUCCA,PHORU,PODCR	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,MESUN,PTEGU,COLLI,GALGA,MELGA	5	4	2	50	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,BALRE,CALAN,CHAPE	2	2	2	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CALAN,CHAPE,COLLI	2	2	2	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CALAN,CHAPE,GALGA	1	1	1	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CALAN,CHAPE,PHORU	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CALAN,CHAPE,TAUER	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CHAVO,BALRE,GALGA	1	1	1	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CHAVO,BALRE,STRCA	1	1	1	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CHAVO,MESUN,PTEGU	1	1	1	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CHLUN,TAUER,STRCA	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,CHLUN,TINMA,STRCA	5	5	3	60	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,EURHE,CHAVO,BALRE	1	1	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,MESUN,PTEGU,ANAPL	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PHALE,EURHE,CHLUN	2	2	2	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PHALE,EURHE,STRCA	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PHALE,EURHE,TAUER	1	1	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PHORU,PODCR,ANAPL	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PHORU,PODCR,GALGA	1	1	1	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PHORU,PODCR,STRCA	0	0	0	0	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PTEGU,GALGA,MELGA	3	2	2	100	0	0	0	4_Random_controls					
0.FULGL,PYGAD,APTFO,PTEGU,PHORU,PODCR	0	0	0	0	0	0	0	4_Random_controls					
0.GAVST,CHAVO,BALRE,MESUN,PTEGU,COLLI	1	1	1	100	0	0	0	4_Random_controls					
0.GAVST,CHAVO,BALRE,OPHHO,PHORU,PODCR	1	0	0	0	0	0	0	4_Random_controls					
0.GAVST,CHLUN,TAUER,GALGA,MELGA,ANAPL	3	3	2	66.66667	1	1	100	4_Random_controls					
0.GEOFO,CALAN,CHAPE,CAPCA,CHLUN,TAUER	2	2	2	100	0	0	0	4_Random_controls					
0.GEOFO,CALAN,CHAPE,CAPCA,PHORU,PODCR	2	2	2	100	0	0	0	4_Random_controls					
0.GEOFO,CALAN,CHAPE,CHLUN,TAUER,CUCCA	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,CHAVO,BALRE,OPHHO,CALAN,CHAPE	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,CHLUN,TAUER,GALGA,MELGA,ANAPL	7	5	5	100	1	1	100	4_Random_controls					
0.GEOFO,FULGL,PYGAD,APTFO,PHORU,PODCR	1	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,HALAL,PELCR,EGRGA,NIPNI,PHACA	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,HALLE,HALAL,FULGL,PYGAD,APTFO	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,HALLE,HALAL,GALGA,MELGA,ANAPL	25	23	17	73.91304	1	1	100	4_Random_controls					
0.GEOFO,MELUN,NESNO,MESUN,PTEGU,COLLI	1	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,BALRE	2	2	2	100	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,CALAN	6	6	6	100	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,CHLUN	4	4	3	75	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,COLST	8	5	4	80	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,NIPNI	0	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,OPHHO	6	5	4	80	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,PHALE	2	1	1	100	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,APAVI,PHORU	1	0	0	0	0	0	0	4_Random_controls					
0.GEOFO,MERNU,PICPU,BUCRH,GALGA,MELGA	22	19	19	100	0	0	0	4_Random_controls					
